src_id,src_len,syn_complexity,norm_syn_complexity,n_entity_tokens,norm_n_entity_tokens
0,29,112,3.86206896552,3,0.103448275862
1,41,156,3.80487804878,1,0.0243902439024
2,27,71,2.62962962963,2,0.0740740740741
3,20,53,2.65,1,0.05
4,21,50,2.38095238095,1,0.047619047619
5,23,64,2.78260869565,1,0.0434782608696
6,31,146,4.70967741935,0,0.0
7,28,75,2.67857142857,0,0.0
8,20,56,2.8,0,0.0
9,15,49,3.26666666667,0,0.0
10,19,62,3.26315789474,0,0.0
11,27,99,3.66666666667,1,0.037037037037
12,25,69,2.76,1,0.04
13,23,55,2.39130434783,5,0.217391304348
14,46,209,4.54347826087,4,0.0869565217391
15,19,48,2.52631578947,2,0.105263157895
16,23,61,2.65217391304,1,0.0434782608696
17,44,205,4.65909090909,0,0.0
18,30,81,2.7,0,0.0
19,31,95,3.06451612903,15,0.483870967742
20,12,35,2.91666666667,4,0.333333333333
21,25,64,2.56,4,0.16
22,15,37,2.46666666667,2,0.133333333333
23,14,33,2.35714285714,1,0.0714285714286
24,25,78,3.12,4,0.16
25,14,34,2.42857142857,3,0.214285714286
26,16,44,2.75,4,0.25
