"time","norm_time","src_id","ui_id","tgt_len","user_id"
"37371","1624","0","ui2","21","12"
"167741","4792","1","ui2","32","12"
"164572","6582","2","ui2","26","12"
"205975","11443","3","ui2","19","12"
"28254","1345","4","ui2","21","12"
"146047","6638","5","ui2","21","12"
"169808","6792","6","ui2","34","12"
"220101","8465","7","ui2","25","12"
"88893","4938","8","ui2","21","12"
"30686","2191","9","ui2","13","12"
"2911","181","10","ui2","17","12"
"151659","6593","11","ui2","26","12"
"100442","4367","12","ui2","26","12"
"93095","4654","13","ui2","23","12"
"392059","9562","14","ui1","37","12"
"94159","4955","15","ui1","18","12"
"137940","5997","16","ui1","21","12"
"318752","7412","17","ui1","43","12"
"122148","4362","18","ui1","28","12"
"206428","7645","19","ui1","31","12"
"48813","4067","20","ui1","9","12"
"109712","4571","21","ui1","24","12"
"90448","6460","22","ui1","15","12"
"71510","5107","23","ui1","15","12"
"218843","9514","24","ui1","27","12"
"79209","5657","25","ui1","14","12"
"61640","4109","26","ui1","12","12"
"61497","2673","0","ui2","22","13"
"143096","4088","1","ui2","25","13"
"146001","5840","2","ui2","25","13"
"163595","9088","3","ui2","21","13"
"192685","9175","4","ui2","21","13"
"111664","5075","5","ui2","22","13"
"170145","6805","6","ui2","31","13"
"195803","7530","7","ui2","24","13"
"89951","4997","8","ui2","21","13"
"105712","7550","9","ui2","12","13"
"213704","13356","10","ui2","22","13"
"189921","8257","11","ui2","26","13"
"157219","6835","12","ui2","22","13"
"142443","7122","13","ui2","23","13"
"294719","7188","14","ui1","42","13"
"190813","10042","15","ui1","26","13"
"184305","8013","16","ui1","20","13"
"433588","10083","17","ui1","40","13"
"149764","5348","18","ui1","30","13"
"204890","7588","19","ui1","29","13"
"33433","2786","20","ui1","9","13"
"167754","6989","21","ui1","24","13"
"85232","6088","22","ui1","12","13"
"107342","7667","23","ui1","14","13"
"163163","7094","24","ui1","26","13"
"126796","9056","25","ui1","12","13"
"103485","6899","26","ui1","14","13"
"39324","1709","0","ui2","22","14"
"118543","3386","1","ui2","30","14"
"108292","4331","2","ui2","28","14"
"114006","6333","3","ui2","20","14"
"124644","5935","4","ui2","22","14"
"64514","2932","5","ui2","22","14"
"142173","5686","6","ui2","30","14"
"123196","4738","7","ui2","28","14"
"71720","3984","8","ui2","21","14"
"78451","5603","9","ui2","12","14"
"68151","4259","10","ui2","18","14"
"149359","6493","11","ui2","24","14"
"142386","6190","12","ui2","27","14"
"85965","4298","13","ui2","21","14"
"199621","4868","14","ui1","43","14"
"60541","3186","15","ui1","17","14"
"65731","2857","16","ui1","22","14"
"193657","4503","17","ui1","43","14"
"73219","2614","18","ui1","31","14"
"81266","3009","19","ui1","28","14"
"17463","1455","20","ui1","8","14"
"104535","4355","21","ui1","23","14"
"51492","3678","22","ui1","15","14"
"88416","6315","23","ui1","16","14"
"120953","5258","24","ui1","21","14"
"33173","2369","25","ui1","14","14"
"32225","2148","26","ui1","15","14"
"73287","3186","0","ui2","24","15"
"172707","4934","1","ui2","36","15"
"134372","5374","2","ui2","30","15"
"93003","5166","3","ui2","17","15"
"53844","2564","4","ui2","21","15"
"82478","3749","5","ui2","21","15"
"175911","7036","6","ui2","29","15"
"227420","8746","7","ui2","26","15"
"115681","6426","8","ui2","19","15"
"45385","3241","9","ui2","14","15"
"127754","7984","10","ui2","18","15"
"105959","4606","11","ui2","23","15"
"106516","4631","12","ui2","24","15"
"60199","3009","13","ui2","23","15"
"342929","8364","14","ui1","42","15"
"120537","6344","15","ui1","17","15"
"152715","6639","16","ui1","20","15"
"290456","6754","17","ui1","44","15"
"123717","4418","18","ui1","30","15"
"197453","7313","19","ui1","30","15"
"65086","5423","20","ui1","14","15"
"175476","7311","21","ui1","24","15"
"71487","5106","22","ui1","15","15"
"100918","7208","23","ui1","16","15"
"148511","6457","24","ui1","25","15"
"73442","5245","25","ui1","12","15"
