src_id,sys_id,rank
0,17,1
0,69,1
0,67,3
0,66,3
0,68,5
0,20,5
0,26,7
0,7,8
0,8,9
0,62,10
0,65,11
0,64,11
0,70,13
0,21,14
0,9,15
0,19,16
0,41,17
1,26,1
1,19,2
1,8,3
1,17,3
1,69,5
1,21,6
1,64,7
1,7,8
1,9,9
1,20,10
1,62,11
1,65,12
1,66,13
1,68,14
1,67,14
1,41,16
1,70,17
2,8,1
2,66,2
2,17,3
2,65,4
2,69,5
2,64,6
2,19,7
2,67,8
2,20,8
2,70,10
2,9,11
2,68,12
2,62,13
2,26,14
2,7,15
2,21,16
2,41,17
3,70,1
3,20,2
3,21,3
3,67,3
3,66,5
3,64,6
3,17,7
3,7,8
3,9,9
3,69,10
3,19,11
3,65,12
3,68,13
3,26,14
3,41,15
3,62,16
3,8,17
4,21,1
4,17,2
4,20,3
4,70,3
4,64,3
4,19,6
4,7,6
4,65,8
4,9,9
4,69,9
4,8,11
4,26,12
4,66,13
4,68,14
4,67,14
4,62,16
4,41,17
5,8,1
5,7,2
5,21,3
5,17,3
5,26,3
5,20,3
5,9,3
5,19,3
5,66,9
5,67,10
5,62,10
5,70,12
5,68,13
5,64,14
5,65,15
5,69,16
5,41,17
6,8,1
6,21,2
6,17,2
6,26,2
6,68,5
6,20,6
6,70,7
6,67,8
6,65,9
6,7,10
6,64,11
6,66,12
6,62,13
6,9,13
6,69,15
6,19,16
6,41,17
7,17,1
7,7,2
7,70,2
7,67,4
7,65,5
7,64,6
7,9,6
7,69,8
7,8,9
7,20,10
7,19,11
7,21,12
7,41,13
7,26,14
7,66,15
7,62,16
7,68,17
8,8,1
8,67,2
8,65,3
8,20,4
8,26,4
8,69,6
8,21,7
8,9,8
8,17,9
8,64,9
8,62,9
8,70,9
8,19,9
8,68,14
8,41,15
8,7,16
8,66,16
9,8,1
9,67,1
9,69,3
9,26,4
9,20,5
9,9,5
9,64,7
9,21,8
9,70,9
9,65,9
9,17,9
9,19,12
9,62,13
9,66,14
9,68,15
9,41,16
9,7,17
10,19,1
10,8,1
10,65,3
10,69,4
10,26,5
10,20,5
10,17,5
10,21,8
10,66,9
10,9,10
10,70,11
10,68,12
10,64,13
10,62,13
10,41,15
10,7,16
10,67,17
11,21,1
11,8,1
11,67,3
11,7,3
11,26,5
11,9,6
11,64,7
11,66,8
11,69,9
11,65,10
11,68,10
11,70,12
11,20,13
11,62,14
11,19,14
11,41,16
11,17,17
12,8,1
12,70,2
12,9,2
12,65,4
12,7,5
12,67,5
12,26,5
12,64,8
12,69,8
12,21,10
12,20,10
12,68,12
12,62,13
12,17,14
12,19,15
12,41,16
12,66,17
13,7,1
13,64,1
13,69,3
13,26,4
13,66,5
13,21,6
13,70,7
13,68,7
13,67,9
13,20,10
13,8,10
13,65,12
13,17,12
13,19,14
13,62,14
13,9,16
13,41,17
14,70,1
14,65,1
14,68,1
14,21,1
14,20,5
14,19,6
14,66,6
14,69,6
14,9,9
14,64,9
14,62,9
14,67,12
14,17,13
14,26,14
14,8,14
14,7,16
14,41,17
15,65,1
15,8,2
15,26,3
15,70,3
15,7,3
15,68,6
15,64,6
15,21,6
15,67,6
15,19,10
15,20,10
15,62,10
15,17,10
15,69,10
15,9,10
15,66,16
15,41,17
16,21,1
16,68,2
16,19,3
16,8,3
16,7,5
16,67,5
16,65,5
16,26,5
16,9,5
16,66,10
16,64,10
16,69,10
16,20,13
16,62,14
16,17,15
16,70,16
16,41,17
17,7,1
17,66,2
17,65,3
17,62,3
17,70,3
17,69,3
17,26,7
17,19,7
17,64,7
17,9,7
17,8,7
17,20,12
17,21,12
17,17,12
17,41,15
17,68,16
17,67,16
18,8,1
18,19,1
18,66,1
18,62,4
18,64,4
18,7,4
18,9,4
18,69,8
18,26,9
18,17,10
18,20,11
18,67,12
18,65,13
18,68,14
18,70,15
18,21,16
18,41,17
19,8,1
19,70,2
19,67,3
19,26,4
19,65,5
19,64,6
19,62,7
19,20,8
19,9,9
19,68,10
19,69,11
19,19,12
19,21,13
19,66,14
19,7,15
19,17,16
19,41,17
20,70,1
20,8,1
20,65,3
20,62,3
20,9,5
20,20,5
20,26,7
20,64,7
20,19,9
20,67,9
20,17,11
20,68,12
20,21,13
20,69,14
20,7,15
20,66,16
20,41,17
21,64,1
21,62,1
21,68,3
21,8,3
21,17,3
21,20,6
21,67,7
21,66,8
21,7,9
21,69,10
21,21,11
21,70,11
21,65,13
21,26,14
21,9,15
21,19,16
21,41,17
22,19,1
22,8,2
22,69,3
22,7,3
22,64,5
22,68,5
22,20,7
22,65,8
22,67,9
22,66,10
22,9,11
22,17,12
22,70,13
22,21,13
22,62,15
22,26,16
22,41,17
23,20,1
23,68,1
23,64,1
23,8,4
23,26,4
23,67,4
23,66,7
23,21,7
23,70,9
23,62,10
23,17,11
23,19,12
23,65,13
23,69,14
23,9,15
23,7,16
23,41,17
24,70,1
24,67,2
24,65,3
24,20,3
24,64,5
24,66,5
24,68,7
24,9,8
24,69,8
24,19,8
24,21,11
24,62,12
24,8,13
24,7,14
24,17,15
24,26,15
24,41,17
25,70,1
25,68,2
25,67,3
25,69,3
25,19,3
25,20,3
25,17,7
25,64,8
25,62,9
25,65,10
25,9,11
25,26,12
25,66,13
25,21,14
25,8,14
25,7,14
25,41,17
26,67,1
26,19,1
26,62,1
26,64,4
26,69,4
26,21,4
26,66,4
26,20,8
26,8,9
26,70,10
26,65,11
26,26,12
26,68,13
26,17,13
26,9,13
26,7,16
26,41,17
